bustling (resort)#3\44#суетливый, шумный (курорт)
deserted (island)#3\45#безлюдный; необитаемый (остров)
gorgeous (sunset)#3\46#яркий, пышный (закат)
horrible (place)#3\47#ужасное (место)
impressive (buildings)#3\48#впечатляющие (здание)
luxurious (hotel)#3\49#роскошный (отель)
magnificent (palace)#3\50#величественный (дворец)
memorable (trip)#3\51#незабываемое (путешествие)
mountainous (area)#3\52#гористая (область)
overcrowded (city)#3\53#многолюдный (город)
picturesque (scenery)#3\54#живописный (пейзаж)
splendid (view)#3\55#великолепный (вид)
unforgettable (experience)#3\56#незабываемые (переживания, впечатления)
unspoiled (beaches)#3\57#неиспорченные (пляжи)
